1	1	-2.850368	-9.643781	6.777100	-25.080504	-6.923421	1.720525	-2.023060	0.993075	7.505602	-7.919115	-8.656622	-6.699217	6.358504	3.548098	7.442503	-9.871017	5.586239	5.114271	-2.275193	1.503203	2.275219	1.625940
7	1	-8.178352	-47.071756	-1.612386	2.254943	4.947055	-49.805947	-30.296570	7.104755	-6.542182	5.770861	4.597506	6.532136	5.690292	5.395409	-30.194346	8.481527	-4.122395	6.620455	-22.161914	-7.454174	0.419616	0.063152
38	1	-8.615731	-47.582868	-0.208159	3.770124	6.742447	-49.018419	-22.308519	8.103624	-11.404421	6.129216	5.655213	3.625650	7.835040	8.140827	-27.042844	6.987170	-4.508628	7.046189	-24.105146	-3.577047	0.464076	3.305423
58	1	-8.190953	-47.988678	7.228635	3.595792	1.806927	-55.813143	-21.950601	9.345711	-11.189105	6.459243	5.234170	7.127646	6.581133	3.552331	-22.163461	7.397555	-7.039047	3.686369	-23.974015	-10.136429	1.011562	-0.886850
62	1	-7.770963	-56.488841	2.949346	7.463167	7.172422	-47.737802	-25.586155	8.995875	-19.265581	8.282201	6.910906	5.949054	7.293059	7.343670	-27.862988	7.152158	-5.225378	3.462148	-21.704932	-7.848770	3.867547	0.551895
68	1	-10.707617	-51.095899	1.926834	6.431824	6.124657	-41.543186	-30.492492	3.869408	-6.125989	7.225202	5.486468	6.519571	6.721751	4.458778	-25.392780	8.445449	-7.108075	6.656203	-20.882735	-14.949009	-0.765284	-2.258529
82	1	-10.553064	-55.242388	-1.023732	1.803670	7.145521	-54.206605	-25.460636	6.362109	-15.570635	4.877378	9.469466	6.952806	3.202378	7.068396	-28.399719	8.357502	-3.361911	8.439958	-14.355055	-9.714446	1.350340	-3.390001
131	1	-12.353524	-57.429392	3.763320	3.761002	8.596941	-52.521667	-23.548235	7.936770	-12.192595	4.954508	6.786954	5.999122	8.789776	6.161305	-20.064668	6.056462	-7.685709	3.978275	-21.788173	-2.561162	0.612836	2.118082
132	1	-7.578917	-62.243869	0.171253	6.681370	8.195047	-37.916385	-27.616589	5.812305	-6.414088	8.860738	3.917648	4.822319	9.365351	8.213303	-25.904384	5.085893	-8.091741	3.967413	-17.830056	-11.955072	2.317000	1.835675
161	1	-11.560341	-51.364236	2.885327	-3.484880	5.111090	-46.318460	-34.425602	2.511038	-6.043063	7.703138	5.668112	5.939091	7.508867	8.310872	-29.389507	6.349070	-6.202127	5.496853	-16.341076	-11.385502	-1.428566	-2.959387
175	1	-6.081081	-64.841572	0.781334	2.382640	7.520778	-49.703704	-27.923862	6.877579	-13.439715	9.058037	7.878378	7.043906	8.408229	3.821280	-25.713769	7.009589	-5.754531	4.205456	-22.868385	-10.111381	0.878892	-0.651924
182	1	-7.627552	-49.532704	2.857638	5.913950	5.166089	-52.239240	-28.520791	6.763665	-15.972227	6.646714	5.975729	6.332572	2.979086	5.974768	-27.055544	5.538861	-4.162055	7.167756	-11.971326	-7.797780	-1.831845	-3.525224
