22	4	-4.452863	-59.010685	0.072990	-0.308785	9.098203	-46.890418	-20.121570	3.001965	-1.998772	5.717291	7.617273	7.441815	7.634734	5.074374	-34.279189	6.159415	-3.038339	6.150197	-24.681320	-6.817244	1.677567	2.135112	7.869768	1.264304	5.391705	-34.111176	-2.739181	1.127496	0.218504	-3.243300	8.843537	-6.975856	-5.882476	-4.074157	7.634734	5.074374	-1.919725	-3.187936	5.903866	6.150197	5.938554	5.793022	7.984695	6.657703	7.128022	-8.009510	0.072990	-16.272561	7.130048	-11.816705	-6.245311	-3.032781	8.839009	-3.994497	-0.416265	-4.074150	7.634734	5.074374	-14.279974	0.124783	0.605360	6.150197	0.487856	2.857247	6.863973	6.657703	7.101525	-14.177669	0.072990	-12.914129	7.134957	-25.365718	-6.252126	0.196029	4.983355	0.187243	6.353572	2.079267	7.634734	5.074374	-14.303889	0.222641	0.582710	6.150197	-5.643432	2.840538	6.845796	6.657703
45	4	-9.745228	-62.684277	0.980824	6.960844	7.435395	-52.133124	-20.642661	8.366347	-17.411915	6.944338	6.546602	5.501783	6.568451	6.184404	-37.277830	7.863111	-5.826015	5.043872	-17.850183	-9.299785	2.638192	0.886966	4.606154	-3.951967	6.018779	-10.714865	1.637962	-11.623691	-3.667957	1.724917	3.136039	-5.129524	-5.607875	-5.402352	6.568451	6.184404	-14.780023	-1.043400	0.505286	5.043872	1.753839	1.821196	3.503613	6.043655	5.466009	2.140991	6.952536	-24.111353	-0.536281	-2.995168	3.535919	1.724914	3.136042	-5.129524	-8.175977	-5.413189	6.568451	6.184404	-4.452274	-1.044573	7.075318	5.043872	4.122657	7.124150	7.390051	6.043656	4.439590	-4.595161	5.976439	-4.586384	1.667255	-20.222040	-3.745419	1.724921	2.104905	0.969744	-0.057093	0.999661	6.568451	6.184404	-14.830160	-1.043195	0.505286	5.043872	-1.911747	1.788936	3.435124	5.900372
49	4	3.782690	-9.853284	-0.175757	-7.269299	5.054980	-21.839049	-8.760279	2.187882	4.297670	3.293746	0.131418	0.892841	4.019472	8.815267	-11.582945	-3.172292	-0.675246	8.184112	-9.930437	1.127055	5.824240	9.135546	-7.120736	-44.484586	-0.293242	-0.153562	5.928399	-42.553631	-22.245180	5.700097	-12.785758	7.399714	6.717608	6.695126	4.019472	8.815267	-31.605081	8.065267	-7.129574	8.184112	-22.542108	-4.771381	3.087980	4.743979	5.695472	8.066064	6.227956	-25.818799	-3.175622	0.593949	-5.032844	2.178144	4.830110	-2.453880	-8.949145	-4.490366	4.019472	8.815267	-2.978628	-3.177616	4.255029	8.184112	5.704848	5.876777	9.065647	9.135573	3.784334	-7.006624	-0.175697	-13.317381	5.054804	-13.983431	-8.759888	2.178333	4.830057	-2.061724	-5.649006	-4.490366	4.019472	8.815267	-11.578627	-3.173284	-0.675245	8.184112	-5.748123	1.127635	5.826480	9.135573
99	4	-8.049526	-49.300616	0.176546	5.061988	5.533846	-52.855833	-20.699605	7.029014	-16.459903	7.895402	3.738569	5.381131	5.634030	7.374897	-31.471344	3.812064	-1.126907	7.243082	-18.710228	-2.166085	0.804637	4.731086	3.646340	5.976942	6.477866	-28.402061	-4.059310	1.539092	-3.873310	0.582138	5.550440	-2.947953	-7.472186	-6.630303	5.634030	7.374897	0.993271	-4.101005	6.835284	7.243082	6.372586	6.477786	3.999689	7.060408	1.967742	0.024307	6.431900	-11.073396	2.696419	-18.782175	-4.814916	0.582138	0.341149	1.676420	0.948988	-1.217614	5.634030	7.374897	-9.166276	-3.357928	1.106110	7.243082	-0.627738	2.748690	3.614919	6.985788	1.999450	0.739989	6.435992	-16.607255	2.673649	-7.080369	-4.780909	0.582138	5.550403	-2.947006	-2.514934	-6.630303	5.634030	7.374897	-9.164793	-3.384170	1.108003	7.243082	1.119565	2.756696	3.616927	7.060408
123	4	-3.245319	-53.635764	4.499173	3.536245	9.050874	-33.604326	-10.771127	6.799325	-2.734849	9.101697	6.107811	2.529370	6.589329	4.064108	-26.997016	6.859644	-1.052922	7.360316	-24.725820	-2.681794	0.350275	3.264742	5.296876	2.620338	6.155924	-36.784223	-2.203420	3.759137	-1.662313	0.614169	7.999453	-1.965586	-12.613492	-6.583740	6.589329	4.064108	2.644552	-1.523578	6.843849	7.360316	4.252095	7.294516	6.195596	8.179036	4.696823	-33.543933	4.499174	-7.258763	9.027002	-14.076755	-7.585178	6.799312	0.706264	3.917066	0.100979	-2.858360	6.589329	4.064108	-16.223836	6.799422	-0.998366	7.360316	-11.276881	1.978132	6.195573	8.059211	5.003480	-14.647523	4.499261	-11.068847	8.131931	-3.631329	-6.625026	4.441943	7.903672	-0.832320	-1.912062	-6.582728	6.589329	4.064108	-14.991523	3.220366	1.513093	7.360316	-5.051670	2.225433	6.195586	8.179036
181	4	-6.517847	-41.354920	2.005534	7.654599	5.378014	-37.874689	-19.595373	1.818902	-8.014373	6.626913	6.941145	6.635060	6.316130	7.594979	-29.104829	6.174314	2.016334	6.359199	-18.257837	-0.884411	4.169216	4.167030	7.358267	7.457050	6.337573	-31.316802	-6.198242	-1.645360	-4.237572	-4.312683	8.551385	-5.671645	-8.463609	-2.486119	6.316130	7.594979	-0.787016	-4.770794	8.505500	6.359199	4.965735	5.969538	6.771738	8.760905	3.740594	-20.264040	6.308131	-8.570681	1.807537	-20.954509	-6.408776	1.818263	-8.011182	6.626912	6.773942	6.555365	6.316130	7.594979	-14.766421	1.066564	2.571017	6.359199	-7.690658	4.029611	6.763715	4.168021	7.358263	3.293742	6.337310	-22.405597	-0.466879	-3.988148	-4.663258	-4.312683	8.530563	-5.671645	-2.546757	-2.486094	6.316130	7.594979	-8.939095	-4.765706	2.654930	6.359199	1.643597	5.950123	6.771722	8.760890
192	4	6.133930	2.304388	4.108217	-24.657408	-7.190786	4.453352	0.657592	1.055254	3.296968	-4.154333	-11.506864	-3.259302	5.752212	5.608951	5.468026	-3.075040	6.491828	5.774654	6.632754	6.462218	7.547284	5.127057	0.127727	-27.968910	4.108205	-12.787172	-4.849085	-7.775351	-4.841303	6.525183	-2.724056	2.345705	-5.670771	-1.098140	5.752212	5.608951	4.177857	2.510746	6.355683	5.774654	2.396914	2.152797	6.866448	1.058109	-12.764540	-59.783526	1.629388	7.733074	4.760429	-45.939699	-17.992213	6.525431	-15.687857	6.847416	4.024096	4.726928	5.752212	5.608951	-26.359288	5.134215	-1.053092	5.774654	-17.853519	-10.321909	1.604031	-0.745319	-0.011399	-34.822154	4.108205	-6.339394	-4.842319	-24.787171	-4.843722	6.525429	-10.823253	6.847413	-1.100721	4.718994	5.752212	5.608951	-0.608515	2.512327	6.352890	5.774654	-4.165500	2.152392	6.866289	-0.745269
193	4	-4.382512	-12.358477	2.256646	-6.101262	8.462288	-14.493930	-8.631769	5.866986	4.401741	-4.737413	-5.093853	-1.573674	6.482503	4.825134	-9.862891	1.515548	-1.084896	5.369880	-11.937005	-2.878679	1.894948	6.626273	6.371283	4.952556	6.452542	-34.420900	-2.589872	-1.131005	-0.058729	5.827231	4.539671	-4.737625	-11.163398	-2.709653	6.482503	4.825134	5.723006	-4.693159	4.805182	5.369880	5.567823	5.232310	6.966996	6.626273	-9.208953	-60.098187	2.256646	2.908498	8.463966	-45.075429	-22.243288	7.627777	-9.487307	4.444809	4.338131	6.530767	6.482503	4.825134	-22.496208	7.244103	-4.715995	5.369880	-21.813500	-12.388335	1.298739	0.631433	-4.382534	-12.549570	2.256646	-3.447743	8.462289	-21.641662	-8.631930	5.878658	4.041425	-1.126409	-0.518377	2.078612	6.482503	4.825134	-9.863526	1.516213	-1.085093	5.369880	-15.971751	-2.878953	1.894672	6.626273
220	4	3.442881	-7.168771	5.272273	-8.109556	-0.997895	-2.569328	-5.316447	0.947492	5.824744	-3.064648	-6.952563	-5.755880	1.716711	7.145750	-11.299651	-3.066286	-1.118759	5.985360	-5.237208	-0.427384	1.267904	8.779477	-6.461064	-51.610108	1.694926	5.846392	4.784172	-36.016705	-25.561138	6.049622	-5.858222	6.657778	4.261799	4.502080	1.716711	7.145750	-21.532348	7.655911	-5.122257	5.985360	-17.612603	-12.400412	0.411304	2.528015	5.715363	3.372706	5.272276	-14.429013	-5.143474	5.318053	1.202729	0.947492	5.824744	-3.064648	-13.244616	-5.755880	1.716711	7.145750	0.561433	-3.127381	3.799171	5.985360	5.616506	3.176386	2.102426	8.779477	-3.969570	-33.065739	1.694926	0.761549	4.784172	-11.096523	-13.200047	6.049622	5.693897	0.798929	-0.673382	-0.736017	1.716711	7.145750	-17.122328	7.655911	-5.109546	5.985360	-11.587744	-7.729207	0.411304	8.779477
224	4	5.964609	6.559438	5.448922	-29.667685	2.079687	5.984575	5.093747	1.514547	6.546695	0.597653	-9.468472	-7.113277	4.594992	6.965125	4.132294	-0.836663	6.453458	5.035297	6.716939	5.939322	6.422087	5.974006	4.783784	-25.569493	0.545643	-5.593613	5.540185	-10.061402	-6.548298	6.439742	3.770702	1.051327	-0.188397	0.576040	4.594992	6.965125	-21.245530	7.545711	-3.393315	5.035297	-7.268601	-0.533597	3.242926	5.974006	5.478454	-5.481110	0.664155	-10.068495	5.151847	-5.432244	0.346841	1.514547	6.546664	0.597653	-4.975935	-6.982932	4.594992	6.965125	-11.974663	-0.056268	0.602904	5.035297	-2.426815	0.471171	4.054274	5.974006	-9.307480	-48.233775	0.442703	6.485372	8.156858	-35.453800	-17.921327	6.439742	-7.811473	6.521753	6.100422	5.349815	4.594992	6.965125	-29.492915	8.420629	-3.393599	5.035297	-14.924699	-5.193352	0.406524	2.095940
