3	3	-4.592743	-55.560286	-4.997904	6.483245	6.067204	-41.390380	-32.996598	6.379166	-19.502643	5.997716	7.070027	6.557988	6.513617	9.511628	-34.281543	7.170043	-2.563078	3.671970	-20.944769	-8.097906	0.323875	-0.690079	7.585981	2.414069	1.554143	-24.164472	-2.821542	3.638689	-6.059471	2.141377	2.191585	-6.420385	-8.725906	-5.341312	6.513617	9.511628	1.156472	-5.747382	9.175457	3.671970	7.348621	6.806579	6.514761	5.150461	0.653538	-10.189688	-4.997904	-6.055854	6.067191	-9.310124	-11.936562	2.141377	2.185245	-5.406733	-3.082906	-5.340782	6.513617	9.511628	-14.841763	0.725653	3.058276	3.671970	-4.287484	1.859147	2.922644	5.149647
4	3	-11.855880	-52.719261	2.082035	7.838921	5.868141	-52.975636	-31.355187	5.557796	-12.912039	7.617569	3.831631	6.851257	4.474475	8.001427	-34.232563	6.657094	-5.297122	6.258104	-19.258297	-5.567998	4.024175	0.824381	6.143268	-2.935460	2.091529	-9.934857	4.578286	-9.387710	-6.511144	-0.959833	5.776438	-2.851806	-6.310895	-5.492650	4.474475	8.001427	-11.514563	1.868515	1.050550	6.258104	1.178954	5.118158	8.538135	6.048951	6.146588	5.631901	7.158182	-29.464918	-1.732522	-4.567134	-3.778905	-0.959833	5.776440	-2.851806	-12.769243	-5.492650	4.474475	8.001427	-2.582566	-2.252873	5.482322	6.258104	6.435914	5.686868	8.546735	6.048951
14	3	5.939263	1.221320	5.607317	-32.191404	-2.292330	-2.853660	1.152721	2.628749	7.152904	-2.835777	-10.833907	-3.283055	8.483360	5.028829	5.381630	-1.553439	8.305833	8.131057	7.079860	5.981322	4.354393	8.155669	-13.193216	-53.697488	-0.886544	0.439616	9.741966	-45.601925	-14.418529	6.067558	-4.456600	3.818075	1.022290	6.848681	8.483360	5.028829	-24.032793	5.731271	2.731827	8.131057	-17.806452	-3.427754	0.590137	1.671770	-0.171693	-32.305610	5.601299	-18.562070	-0.291952	-28.916269	-3.833489	6.067558	-2.404473	3.818075	-2.769725	6.848681	8.483360	5.028829	0.043298	1.953378	7.770402	8.131057	-2.713802	4.394265	4.354291	2.213689
16	3	2.760719	4.258818	6.126821	-28.257653	-2.179824	3.044103	1.168836	2.798179	4.245717	-3.262576	-7.401063	-6.600633	6.725527	3.371854	9.320057	-8.288951	7.252642	5.617963	3.735177	4.481345	5.729738	6.625427	-8.515364	-31.188894	2.964764	-12.442614	1.330718	-28.906703	-6.968366	9.256588	-8.658431	7.460561	-0.333004	5.405576	6.725527	3.371854	-0.689487	-0.174751	7.154868	5.617963	-12.625683	-1.466214	0.492229	1.397224	-9.823123	-33.212336	-0.197865	-11.271152	3.036395	-31.146584	-8.532749	9.256588	-8.658626	7.460561	-0.327234	5.405576	6.725527	3.371854	-0.778686	0.291235	7.119252	5.617963	-13.668628	-4.260831	0.267674	1.397224
26	3	-6.179422	-45.219640	4.043404	5.626312	7.813988	-39.274955	-18.597061	9.324816	-12.075590	5.430494	8.608502	4.895152	2.587008	6.415295	-27.228366	6.156628	-1.862330	4.482399	-10.658253	-3.115981	5.142830	7.169323	6.112702	6.008721	8.568878	-30.650919	-2.869340	2.002372	1.148842	3.419460	5.107996	-6.744823	-3.209516	-5.902876	2.587008	6.415295	6.500196	-4.106725	7.820737	4.482399	6.384961	7.337784	8.668236	8.735219	6.083868	-20.617597	8.568746	-20.095116	-2.868964	-23.872324	-4.924095	9.324792	-12.075580	5.430494	7.500435	4.889963	2.587008	6.415295	1.340317	0.190325	7.612365	4.482399	-0.899821	7.337729	8.668236	7.169323
41	3	-1.237057	-50.914748	0.465165	3.174594	6.964725	-45.505283	-25.242010	7.280075	-11.439827	3.922514	5.949175	6.015517	4.620476	7.214017	-30.277940	7.701977	-6.305903	4.848876	-18.054247	-10.468772	1.398383	2.822320	7.594998	5.701969	6.212591	-35.040716	0.222592	-2.035680	0.685130	0.857203	7.885414	-5.697321	-10.691507	-4.419092	4.620476	7.214017	4.920037	-2.062044	5.727101	4.848876	6.676902	3.768721	7.088321	6.075012	5.138877	-2.287239	3.280639	-13.778706	3.106059	-7.224442	-6.531448	0.857203	7.885414	-5.697321	-4.529106	-4.419092	4.620476	7.214017	-13.076687	-1.194481	1.162398	4.848876	-5.283069	-2.420587	1.398409	6.075012
48	3	3.768444	7.160250	7.705482	-35.757548	-5.101706	0.195820	-1.490157	-0.770600	8.047427	-5.967052	-10.374469	-5.645218	5.669149	8.185098	1.452730	-6.991553	8.243561	5.593442	7.999981	5.723020	4.964129	6.879321	-12.578164	-52.988919	1.425469	6.493629	6.540902	-41.686636	-29.780707	5.620550	-9.155252	5.825087	4.710791	6.161735	5.669149	8.185098	-25.323046	5.533064	0.394236	5.593442	-17.251563	-9.791063	-0.544608	0.749895	-6.981076	-2.220526	4.352948	-23.352361	3.171310	-3.447224	-8.825353	-0.770600	8.047427	-5.967052	-10.347521	-5.645218	5.669149	8.185098	-3.038677	-0.769455	8.144346	5.593442	7.936385	0.187127	-0.543699	6.879321
52	3	2.693633	6.871379	5.423167	-40.370753	-6.237037	1.583688	0.170153	0.688042	8.009769	-5.542040	-8.664869	-4.526913	3.679677	6.130417	6.927545	-6.653124	8.740138	7.876914	6.289467	6.294772	6.998949	6.329288	-11.010123	-40.620445	3.768488	-1.492285	3.643198	-45.994856	-7.926378	6.775350	-10.847774	5.801229	6.797258	7.177773	3.679677	6.130417	-16.209698	-0.370412	3.796261	7.876914	-16.829432	-1.627447	0.807373	3.016032	-14.814834	-50.324250	3.735496	-0.137362	3.656051	-48.538183	-13.244769	6.775350	-10.847774	5.801229	6.797258	7.177773	3.679677	6.130417	-22.808381	3.872524	0.245260	7.876914	-19.949509	-11.264494	0.805724	3.016032
57	3	-12.263343	-45.868007	0.677242	8.369924	4.448155	-56.626916	-21.468782	6.963508	-14.620875	5.584877	4.785859	6.762499	7.249882	6.267919	-26.341740	6.789909	-4.114989	4.996692	-22.633347	-4.861433	2.882568	4.717879	2.933814	5.122951	6.622045	-28.275519	-5.593571	-5.900205	-0.261309	1.721538	5.686102	-5.377632	-13.007653	1.630090	7.249882	6.267919	2.803457	-0.317796	6.809182	4.996692	4.625231	5.228280	8.221260	8.167910	1.647651	-0.393718	6.619413	-10.968412	-0.052835	-7.545201	-1.693768	1.723104	5.686092	-5.361559	-7.572331	1.630090	7.249882	6.267919	-11.528939	-0.317796	1.333489	4.996692	-5.318621	0.975725	4.773792	8.167910
61	3	5.660125	1.421863	3.438953	-28.311019	1.314059	-2.299643	-0.337989	0.454696	5.249036	-7.180811	-9.902653	-4.101686	5.740728	4.651503	6.994256	-7.117614	8.123368	7.279580	6.334950	5.314469	4.632574	5.996443	-10.913328	-43.388016	2.956532	6.691650	7.493224	-45.242150	-22.655882	0.455450	-6.815354	5.513612	6.047363	5.387688	5.740728	4.651503	-15.297709	3.553180	1.061316	7.279580	-22.739504	-6.495212	-0.369485	-0.250629	-1.473736	-24.125573	2.957567	-5.986890	3.163121	-27.301346	-7.241625	0.455450	-2.912489	5.513172	-0.384667	5.383360	5.740728	4.651503	4.122897	-1.648171	8.123367	7.279580	-7.608963	2.942264	4.498569	1.506078
